"ui_resources";"1.0";;;;;;;;;;;;;;;;;
# version : 6.0.0
"object_id";"text:is_adult";"text[eng]:label";"text[fre]:label";"text[dut]:label";"text[ger-CHE]:label";"text[fre-CHE]:label";"text[ita-CHE]:label";"text[ger-DEU]:label";"text[tur]:label";"text[eng-IRL]:label";"text[ger.AUT]:label";"text[nno]:label";"text[swe]:label";"text[hun]:label";"text[pol]:label";"text[cze]:label";"text[slo]:label";"text[rum]:label"
"programme_genre/DVB/3.1";;"GAME SHOW";"EMISSION DE JEU";"SPELSHOW";"GAME SHOW";"EMISSION DE JEU";"GIOCO A PREMI";"GAME SHOW";"YARIŞMA";"GAME SHOW";"GAMESHOWS";"spørrelek";"frågesport";"Vetélkedő";"teleturniej";"Hra";"Hra";"concurs"
"programme_genre/DVB/3.2";;"VARIETY SHOW";"SPECTACLE DE VARIÉTÉS";"VARIÉTÉ";"UNTERHALTUNGSSHOW";"SPECTACLE DE VARIÉTÉS";"INTRATTENIMENTO";"UNTERHALTUNGSSHOW";"VARYETE ŞOVU";"VARIETY SHOW";"UNTERHALTUNG";"variete";"underhållningsshow";"Varietéműsor";"verieté";"Verieté";"Varieté";"varietati"
"programme_genre/DVB/3.3";;"TALK SHOW";"TALK-SHOW";"TALKSHOW";"TALK SHOW";"TALK-SHOW";"TALK SHOW";"TALK SHOW";"TALK SHOW";"TALK SHOW";"TALK-SHOW";"talk show";"talkshow";"Talk-show";"talk show";"Talk-show";"Talk-show";"talk show"
"programme_genre/DVB/3.4";;"QUIZ SHOW";;"QUIZ PROGRAMMA";"QUIZ SHOW";"QUIZ";"QUIZ";"QUIZ SHOW";"BİLGİ YARIŞMASI";"QUIZ SHOW";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.5";;"PARTNER SHOW";;"PARTNER PROGRAMMA";"PARTNER SHOW";"EMISSION DE COUPLES";"PARTNER SHOW";"PARTNER SHOW";"EVLİLİK ŞOVU";"PARTNER SHOW";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.6";;"REALITY SHOW";;"REALITY PROGRAMMA";"REALITY SHOW";"TÉLÉRÉALITÉ";"REALITY";"REALITY SHOW";"REALITY SHOW";"REALITY SHOW";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.7";;"FORMULA 1";;"FORMULE 1";"FORMEL 1";"FORMULE 1";"FORMULA 1";"FORMEL 1";"FORMULA 1";"FORMULA 1";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.8";;"CHAMPIONSHIP LEAGUE";;"CHAMPIONSHIP LEAGUE";"CHAMPIONS LEAGUE";"LIGUE DES CHAMPIONS ";"CHAMPIONS LEAGUE";"CHAMPIONS LEAGUE";"CHAMPIONSHIP LEAGUE";"CHAMPIONSHIP LEAGUE";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.9";;"ROMANTIC COMEDY ";;"ROMANTISCHE KOMEDIE";"ROMANTIK/KOMÖDIE";"COMÉDIE ROMANTIQUE";"ROMANTICO/COMMEDIA";"ROMANTIK/KOMÖDIE";"ROMANTİK KOMEDİ ";"ROMANTIC COMEDY ";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.10";;"ACTION/COMEDY";;"ACTIE/KOMEDIE";"ACTION/KOMÖDIE";"ACTION/COMÉDIE";"AZIONE/COMMEDIA";"ACTION/KOMÖDIE";"AKSİYON/KOMEDİ";"ACTION/COMEDY";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.11";;"ACTION/THRILLER";;"ACTIE/THRILLER";"ACTION/THRILLER";"ACTION/THRILLER";"AZIONE/THRILLER";"ACTION/THRILLER";"AKSİYON/POLİSİYE";"ACTION/THRILLER";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.12";;"ACTION/WAR ";;"ACTIE/OORLOG";"KRIEG/ACTION";"GUERRE/ACTION";"GUERRA/AZIONE";"KRIEG/ACTION";"AKSİYON/SAVAŞ ";"ACTION/WAR ";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.13";;"ADVENTURE/ACTION ";;"AVONTUUR/ACTIE";"ABENTEUER/ACTION";"AVENTURE/ACTION";"AVVENTURA/AZIONE";"ABENTEUER/ACTION";"MACERA/AKSİYON ";"ADVENTURE/ACTION ";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/3.14";;"ACTION/ADVENTURE";;"ACTIE/AVONTUUR";"ACTION/ABENTEUER";"ACTION/AVENTURE";"AZIONE/AVVENTURA";"ACTION/ABENTEUER";"AKSİYON/MACERA";"ACTION/ADVENTURE";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/4.0";;"SPORT";"SPORT";"SPORT";"SPORT";"SPORT";"SPORT";"SPORT";"SPOR";"SPORT";"SPORT";"sport";"sport";"Sport";"sport";"Sport";"Šport";"sport"
"programme_genre/DVB/4.1";;"SPECIAL EVENT";"EVÉNEMENT SPÉCIAL";"EVENEMENTEN";"SPECIAL EVENT";"EVÉNEMENT SPÉCIAL";"EVENTO SPECIALE";"SPECIAL EVENT";"ÖZEL ETKİNLİK";"SPECIAL EVENT";"SPECIAL EVENT";"Spesielle begivenheter";"speciella händelser";"Különkiadás";"wydarzenie specjalne";"Zvláštní události";"Zvláštne udalosti";"eveniment special"
